EAN           ;EQUIPE           ;VENDEDOR  ;JAN ;FEV ;MAR ;ABR ;MAI ;JUN ;JUL ;AGO ;SET ;OUT ;NOV ;DEZ
2411876356324 ;Hospitalar       ;Catarina  ; 58 ; 76 ; 55 ;  1 ;  7 ;  9 ;144 ; 37 ; 95 ; 42 ;145 ;122
2411876356324 ;Hospitalar       ;Micaela   ;218 ; 16 ; 87 ; 98 ;203 ; 76 ; 34 ; 15 ; 75 ; 75 ; 39 ; 43
2411876356324 ;Hospitalar       ;Emanuel   ; 78 ; 87 ; 20 ; 40 ; 66 ;172 ;131 ; 30 ; 31 ; 88 ;184 ; 21
2411876356324 ;Hospitalar       ;André     ; 98 ;113 ;128 ; 31 ;131 ; 23 ;126 ; 76 ;107 ; 56 ;  0 ;128
2411876356324 ;Hospitalar       ;Tiago     ;173 ; 21 ; 96 ; 28 ;118 ;104 ;129 ; 83 ;112 ;  6 ; 10 ;108
2411876356324 ;Hospitalar       ;Sarah     ; 47 ;209 ;129 ; 35 ; 83 ; 40 ; 84 ;115 ;115 ; 27 ;140 ; 59
2411876356324 ;Hospitalar       ;Vitória   ;105 ; 44 ; 38 ; 71 ; 81 ; 49 ; 63 ; 47 ; 58 ; 57 ;130 ;191
2411876356324 ;Hospitalar       ;Dulce     ;  4 ; 65 ; 62 ;156 ; 81 ; 94 ; 14 ; 92 ; 99 ; 38 ; 25 ; 86
2411876356324 ;Hospitalar       ;Rafael    ;139 ; 69 ;157 ;222 ;209 ; 37 ;172 ; 85 ;  0 ; 27 ; 49 ; 75
2411876356324 ;Hospitalar       ;Guilherme ; 72 ;144 ; 78 ; 48 ;  6 ; 13 ;162 ;173 ;  6 ;134 ;108 ;141
2686267116626 ;Hospitalar       ;Catarina  ; 96 ;181 ; 72 ;182 ; 46 ;199 ; 42 ; 38 ; 62 ; 93 ; 66 ;  1
2686267116626 ;Hospitalar       ;Micaela   ; 63 ; 48 ; 41 ; 65 ; 74 ; 77 ;204 ; 54 ;  2 ; 38 ;134 ;132
2686267116626 ;Hospitalar       ;Emanuel   ; 58 ; 87 ; 38 ;158 ; 96 ;130 ; 16 ;176 ;128 ;185 ;116 ;149
2686267116626 ;Hospitalar       ;André     ; 56 ; 10 ; 66 ; 19 ;161 ;  2 ; 62 ;123 ; 36 ;  5 ;108 ;  6
2686267116626 ;Hospitalar       ;Tiago     ; 43 ;191 ;105 ;159 ; 49 ; 16 ;104 ;102 ;168 ;200 ;111 ; 40
2686267116626 ;Hospitalar       ;Sarah     ; 61 ; 40 ; 96 ;177 ; 91 ;134 ; 42 ; 19 ;181 ;134 ;165 ; 34
2686267116626 ;Hospitalar       ;Vitória   ; 96 ;  6 ;  2 ; 69 ; 62 ; 98 ;  6 ; 61 ; 94 ; 85 ;185 ; 34
2686267116626 ;Hospitalar       ;Dulce     ; 95 ;  3 ; 80 ; 58 ; 11 ; 62 ; 42 ; 41 ; 44 ; 97 ; 20 ;123
2686267116626 ;Hospitalar       ;Rafael    ; 50 ; 74 ; 54 ;162 ;  9 ; 14 ; 63 ; 47 ; 85 ;132 ;122 ;106
2686267116626 ;Hospitalar       ;Guilherme ;  4 ;151 ; 57 ; 50 ; 88 ;176 ;109 ; 13 ; 71 ;151 ; 29 ;112
4600312108192 ;Hospitalar       ;Catarina  ;160 ; 63 ;135 ; 25 ;163 ; 57 ; 59 ;167 ;138 ;136 ;118 ; 88
4600312108192 ;Hospitalar       ;Micaela   ; 21 ;214 ;  6 ;122 ; 91 ;164 ;100 ;119 ;  1 ; 80 ; 14 ; 80
4600312108192 ;Hospitalar       ;Emanuel   ;  1 ;  3 ; 67 ;  9 ;198 ; 65 ;107 ;105 ; 20 ; 78 ;131 ;141
4600312108192 ;Hospitalar       ;André     ; 11 ;  2 ;187 ; 62 ; 50 ; 66 ; 29 ;177 ;174 ; 97 ; 57 ; 13
4600312108192 ;Hospitalar       ;Tiago     ;136 ;  0 ;157 ; 42 ;113 ;150 ;117 ; 87 ; 60 ;160 ; 42 ; 26
4600312108192 ;Hospitalar       ;Sarah     ; 18 ; 54 ; 55 ; 26 ;103 ;170 ; 36 ; 54 ; 64 ; 28 ;106 ; 17
4600312108192 ;Hospitalar       ;Vitória   ; 15 ;215 ; 16 ; 50 ; 96 ; 13 ;139 ;153 ;167 ; 41 ; 12 ;145
4600312108192 ;Hospitalar       ;Dulce     ;142 ;154 ; 24 ;130 ;160 ;110 ; 38 ;136 ;118 ;127 ;115 ; 10
4600312108192 ;Hospitalar       ;Rafael    ;  3 ; 98 ; 18 ;159 ;112 ; 84 ; 51 ;127 ;131 ;  1 ; 91 ; 34
4600312108192 ;Hospitalar       ;Guilherme ; 19 ; 94 ; 39 ;145 ; 50 ; 68 ; 47 ; 75 ;105 ; 61 ;173 ;117
5629915705967 ;Hospitalar       ;Catarina  ;149 ; 79 ;166 ;163 ; 12 ; 41 ;116 ;172 ; 82 ;111 ;135 ; 17
